ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug
17,Adicionar uma requisição POST com productsCount 16.,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 16,
    ""productsWeight"": 6
}","200 OK  ""isItPossibleToDeliver"": talse
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 5""",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-98
Testes para''productsWeight'',,,,,,,
1,"Adicionar uma requisição POST,  productsWeight -1.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": ""-1""
}","200 OK  ""isItPossibleToDeliver"":TALSE,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-84
2,"Adicionar uma requisição POST,  productsWeight 0.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": 0
}",400 Bad Request,"""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 3,  """"clientDeliveryCost"""": 0""",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-85
3,"Adicionar uma requisição POST,  productsWeight 1 .",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": 1
}","200 OK  ""isItPossibleToDeliver"":true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",APROVADO,
4,"Adicionaruma requisição POST,  productsWeight 2.9.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": 2.9
}","200 OK  ""isItPossibleToDeliver"":true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",APROVADO,
5,"Adicionar uma requisição POST,  productsWeight 3 .",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": 3
}","200 OK  ""isItPossibleToDeliver"":true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",APROVADO,
6,"Adicionar uma requisição POST ,sem o productsWeight",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 9
}",400 Bad Request,"200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-87
7,"Adicionar uma requisição POST ,sem o BODY",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,,400 Bad Request,,REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-88
8,Adicionar uma requisição POST com String no productsWeight,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 3,
    ""productsWeight"": ""  ""
}","200 OK  ""isItPossibleToDeliver"":TALSE,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 5",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-91
9,Adicionar uma requisição POST com caracteres especias @$%^& no productsWeight,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 3,
    ""productsWeight"": ""@$%^& ""
}","200 OK  ""isItPossibleToDeliver"":TALSE,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-94
10,Adicionar uma requisição POST com letras latinas no productsWeight,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 1,
    ""productsWeight"": "" Laranja""
}","200 OK  ""isItPossibleToDeliver"":TALSE,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-97
12,Adicionar uma requisição POST  com campo vazio em productsWeight,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 3,
    ""productsWeight"": "" ""
}",400 Bad Request,"200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-102
13,"Adicionar uma requisição POST  com campo vazio em productsWeight, productsCount , deliveryTime",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": "" "",
    ""productsCount"": "" "",
    ""productsWeight"": "" ""
}",400 Bad Request,"200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-103
14,"Adicionar uma requisição POST,para validar productsWeight 3.1.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 15,
    ""productsWeight"": 3.1
}","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 0""",APROVADO,
15,"Adicionar uma requisição POST ,productsWeight 3.2.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 15,
    ""productsWeight"": 3.2
}","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 0""",APROVADO,
16,"Adicionar uma requisição POST ,productsWeight 5.9.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 15,
    ""productsWeight"": 5.9
}","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 0""",APROVADO,
17,"Adicionar uma requisição POST, productsWeight 6.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 15,
    ""productsWeight"": 6
}","200 OK  ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 0""",APROVADO,
18,"Adicionar uma requisição POST , productsWeight 6.1.",1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 15,
    ""productsWeight"": 6
}","200 OK  ""isItPossibleToDeliver"": talse,
    ""hostDeliveryCost"": 5, ""clientDeliveryCost"": 0","""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 5,  """"clientDeliveryCost"""": 0""",APROVADO,
19,Adicionar uma requisição POST  com 0 no productsCount e no productsWeight 0.,1. Envie uma solicitação POST para  /order-and-go/v1/delivery.,"{
    ""deliveryTime"": 8,
    ""productsCount"": 0,
    ""productsWeight"": 0
}",400 Bad Request,"""200 OK  """"isItPossibleToDeliver"""": true,
    """"hostDeliveryCost"""": 3,  """"clientDeliveryCost"""": 0""",REPROVADO,https://janainamariavicentin.atlassian.net/browse/BUG-99
